id,title,restriction,acceptance,additional_information,modification,notes,views,medical_condition_id,created_at,updated_at
1,Absceso Periamigdalino,,,,,,0,43,03/14/2018 19:35:25,03/14/2018 19:35:25
2,Absceso Peritonsilar,,,,,,0,44,03/14/2018 19:35:25,03/14/2018 19:35:25
3,Abuso de Drogas,,,,,,0,45,03/14/2018 19:35:25,03/14/2018 19:35:25
4,Abuso de Drogas Inyectables,,,,,,0,46,03/14/2018 19:35:25,03/14/2018 19:35:25
5,Accidente,"No debe donar si: a) No se encuentra recuperado; b) Sigue bajo seguimiento médico; c) Se encuentra enyesado. ",,Una llaga o herida sin cicatrizar es un riesgo de que las bacterias entren en la sangre. Las bacterias en la sangre pueden ser una amenaza seria para cualquiera que esté recibiendo células madre. Esto se debe a que las bacterias pueden multiplicarse a niveles peligrosos. Un yeso puede ocultar una herida o llaga.,,,0,47,03/14/2018 19:35:25,03/14/2018 19:35:25
6,"Accidente Cerebrovascular ",No debe donar.,,,,,0,48,03/14/2018 19:35:25,03/14/2018 19:35:25
7,Neotigason,,,,,,0,49,03/14/2018 19:35:25,03/14/2018 19:35:25
8,Acné,No debe donar si: a) Alguna vez tomó Etretinato (Tigason); b) Transcurrieron menos de 24 meses desde la última dosis de Acitretina (Neotigason); c)Transcurrieron menos de cuatro semanas desde la última dosis de Isotretinoína (Roaccutan) o Alitretinoína (Toctino); d) Hay una infección secundaria.,"Terapia con tratamientos tópicos, tetraciclina oral, Eritromicina y Dianette (acetato de ciproterona y etinilestradiol): aceptados.","Etretinato (Tigason), Acitretina (Neotigason), Isotretinoína (Roaccutan) y Alitretinoína (Toctino) pueden causar defectos de nacimientos en bebés expuestos a ellos mientras se encuentran en el útero. Es importante dar tiempo a que el donante elimine la droga de su organismo. La eliminación de algunas drogas lleva más tiempo que otras. // Una infección secundaria del acné generalmente es obvia, con hinchazón y enrojecimiento en los lugares afectados. Existe riesgo de que las bacterias entren en la sangre. Esto puede convertirse en una amenaza seria para cualquiera que reciba tejidos. Esto se debe a que las bacterias pueden multiplicarse a niveles peligrosos.",Para incluir información sobre la Alitretinoína (Toctino),,0,50,03/14/2018 19:35:25,03/14/2018 19:35:25
9,Actividad Peligrosa,,,,,,0,51,03/14/2018 19:35:25,03/14/2018 19:35:25
10,Actividad Peligrosa,1. Donante de médula ósea - No debe donar si: a) Requiere  llevar a cabo una actividad peligrosa el mismo día; b) Se debe advertir a los donantes sobre los riesgos de los desmayos tardíos y aconsejar que no realicen una ocupación o o pasatiempo peligroso el mismo día.,"Ocupación peligrosa: si se encuentr afuera de servicio, se acpeta.","Si un donante sufre de un evento adverso después de la donación, algunas actividades (ocupaciones o pasatiempos) pueden causar daño al donante u otros. Los ejemplos de actividades peligrosas incluyen: buceo (todo tipo), vuelo, paracaidismo, deporte de motor, escalada, etc.
Ejemplos de ocupaciones peligrosas incluyen: controlador de tránsito aéreo, conductor de ambulancia, escalar escaleras o andamios, operador de grúa o maquinaria pesada, buzo, tripulante de incendios, aviador, vehículo grande de transporte de mercancías (LGV, HGV superior a 7,5 toneladas),
conductor de autobús o tren, minero que trabaja bajo tierra, etc.",,,0,51,03/14/2018 19:35:25,03/14/2018 19:35:25
11,Acupuntura,,,,"Para reemplazar la entrada para acupuntura por un link a terapia complementaria. La entrada para acupuntura era un duplicado de la entrada para terapia complementaria. El uso de un link hará los futuros cambios para las pautas más simples.  ",,0,52,03/14/2018 19:35:25,03/14/2018 19:35:25
12,Adicción y abuso de drogas,"No debe donar si: a) Alguna vez se ha inyectado, o ha sido inyectado, con drogas; incluso hace mucho tiempo o por única vez. Esto incluye drogas para la musculación; b) Si se encuentra afectado negativamente por cualquier droga, incluido el alcohol, de manera que pueda verse afectado el proceso de obtener un consentimiento válido. ","a) Puede llegar a aceptarse si las drogas inyectables fueron prescriptas por el médico del donante para una condición que no lleve a la exclusión; b) El uso previo de drogas no parenterales no necesariamente requiere la exclusión. ","La inyección de drogas ha sido relacionada con la transmisión de muchas infecciones, incluyendo la hepatitis y el VIH. Pueden transcurrir varios años hasta que cualquier infección se manifieste. Antiguos usuarios de drogas usualmente no se dan cuenta de que aún pueden transmitir infecciones a otros, incluso años después de la última vez que utilizaron drogas. // Cualquier persona claramente afectada por el alcohol u otras drogas que puedan afectar la mente, no pueden otorgar un consentimiento válido o entender completamente por qué se le están haciendo ciertas preguntas.",,,0,53,03/14/2018 19:35:25,03/14/2018 19:35:25
13,"Afección Cutánea ","No debe donar si: a)  la condición es infectada o infecciosa; b) hay malignidad; c) afecta el sitio de venipuntura o cosecha. ","Si la malignidad fue un carcinoma de células basales y se completa el tratamiento, se acepta.",,"""Malignidad"" fue agregado a ""Obligatorio"" y se incluyeron otros links.",,0,54,03/14/2018 19:35:25,03/14/2018 19:35:25
14,"AINE ",,,,,,0,55,03/14/2018 19:35:25,03/14/2018 19:35:25
15,Alcoholismo,,,,,,0,56,03/14/2018 19:35:25,03/14/2018 19:35:25
